	conversation_id	lang	reply_settings	created_at	clean_text	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	textblob_Polarity	textblob_Subjectivity	vader_Polarity	vader_Subjectivity	AFINN_scores	AFINN_sentiments	SentiWordNet_scores	normalized_textblob_Polarity	normalized_textblob_Subjectivity	normalized_vader_Polarity	normalized_vader_Subjectivity	normalized_AFINN_scores	normalized_SentiWordNet_scores	our_label	annotator	roberta_content	roberta_polarity	roberta_sentiment	keyword	normalized_roberta_polarity	textblob_label	vader_label	AFINN_label	SentiWordNet_label	roberta_label
13190	1633665401883332608	en	everyone	2023-03-09 03:05:58	rt  eladnehorai too many liberals are sleeping on rising fascism because of a few national political wins  just as they did when obama was	RT @EladNehorai: Too many liberals are sleeping on rising fascism because of a few national political wins, just as they did when Obama was…	2360557134	[{'type': 'retweeted', 'id': '1633632434972663808'}]	1633665401883332608	['1633665401883332608']	337	0	0	0							0.4333333333	0.33333333330000003	0.5859	0.275	4	positive	1.0	0.7166666667	0.33333333330000003	0.7958976956	0.3069196429	0.5714285714	0.5396825397			RT @user Too many liberals are sleeping on rising fascism because of a few national political wins, just as they did when Obama was…	-0.6351489425	negative	obama	0.0726725403	positive	positive	neutral	neutral	negative
7555	1633965977665966080	en	everyone	2023-03-09 23:00:21	chatgpt msi a520ma pro am4 micro atx motherboard 10726 delivered   amazon uk via au https  tco ss6acztdf7	ChatGPT: MSI A520M-A Pro AM4 Micro ATX Motherboard $107.26 Delivered @ Amazon UK via AU https://t.co/ss6ACZTdF7	6791062		1633965977665966080	['1633965977665966080']	0	0	0	160							0.0	0.0	0.1779	0.108	0	neutral	0.0	0.5	0.0	0.5892631046	0.1205357143	0.48979591840000003	0.4126984127			ChatGPT: MSI A520M-A Pro AM4 Micro ATX Motherboard $107.26 Delivered @ Amazon UK via AU http	0.2069664896	neutral	chatgpt	0.6334699714	neutral	neutral	neutral	neutral	positive
1728	1633219223626432512	en	everyone	2023-03-07 21:33:01	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	318072122	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633219223626432512	['1633219223626432512']	9130	0	0	0							0.0	0.0	0.1531	0.11800000000000001	0	neutral	0.0	0.5	0.0	0.5767029628	0.1316964286	0.48979591840000003	0.4126984127			"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.3274773955	negative	#chrisrocklive	0.27756299430000003	neutral	neutral	neutral	neutral	negative
29831	1633874107552108544	en	everyone	2023-03-09 16:55:17	rt  visegrad24 its time for the west to send patriot missile defense systems to moldova toorussia keeps using moldovan air space to av	"RT @visegrad24: It’s time for the West to send Patriot Missile Defense Systems to Moldova too.

Russia keeps using Moldovan air space to av…"	1497061803590918144	[{'type': 'retweeted', 'id': '1633639497408696326'}]	1633874107552108544	['1633874107552108545']	395	0	0	0							0.0	0.0	0.128	0.08600000000000001	0	neutral	0.0	0.5	0.0	0.5639908838000001	0.0959821429	0.48979591840000003	0.4126984127			"RT @user It’s time for the West to send Patriot Missile Defense Systems to Moldova too.

Russia keeps using Moldovan air space to av…"	-0.0996679887	neutral	ukraine	0.4292701418	neutral	neutral	neutral	neutral	neutral
1632	1633227958260473856	en	everyone	2023-03-07 22:07:43	rt  sagesurge marlon wayans roasting chris rock about the will smith slap#selectiveoutrage #chrisrocklive #chrisrock #chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1522841722803347456	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633227958260473856	['1633227958260473856']	9130	0	0	0							0.0	0.0	0.1531	0.11800000000000001	0	neutral	0.0	0.5	0.0	0.5767029628	0.1316964286	0.48979591840000003	0.4126984127			"RT @user Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	-0.3274773955	negative	#chrisrocklive	0.27756299430000003	neutral	neutral	neutral	neutral	negative
12348	1633669690164740096	en	everyone	2023-03-09 03:23:00	rt  tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knewclapper knewschiff knewfbi knewd	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1591137414436818944	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1633669690164740096	['1633669690164740098']	3314	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			RT @user Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	-0.0099996645	neutral	obama	0.4889837677	neutral	neutral	neutral	neutral	neutral
29245	1633874596947693568	en	everyone	2023-03-09 16:57:14	rt  intermarium24    petr pavel has been sworn in as the president of the #czechrepublic#ukraine #ukrainian #czechia #ukrainewarn	"RT @intermarium24: 🇨🇿 🇨🇿 🇨🇿 Petr Pavel has been sworn in as the President of the #CzechRepublic.

#Ukraine #Ukrainian #Czechia #UkraineWarN…"	1577594673769611264	[{'type': 'retweeted', 'id': '1633870468699811841'}]	1633874596947693568	['1633874596947693568']	11	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			"RT @user 🇨🇿 🇨🇿 🇨🇿 Petr Pavel has been sworn in as the President of the #CzechRepublic.

#Ukraine #Ukrainian #Czechia #UkraineWarN…"	0.0399786793	neutral	ukraine	0.5222662914	neutral	neutral	neutral	neutral	neutral
14926	1633656179078332416	en	everyone	2023-03-09 02:29:19	rt  tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knewclapper knewschiff knewfbi knewd	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	1518740186686840832	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1633656179078332416	['1633656179078332416']	3317	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			RT @user Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	-0.0099996645	neutral	obama	0.4889837677	neutral	neutral	neutral	neutral	neutral
20332	1633670055689871360	en	everyone	2023-03-09 03:24:28	rt  msignorile fox news edits out trump saying he mightve let russia take over parts of ukraine https  tco v5m2dqi8xz via  thedailybe	RT @MSignorile: Fox News Edits Out Trump Saying He Might’ve Let Russia ‘Take Over’ Parts of Ukraine https://t.co/V5M2DqI8xZ via @thedailybe…	34155494	[{'type': 'retweeted', 'id': '1633665830167666688'}]	1633670055689871360	['1633670055689871363']	15	0	0	0							0.0	0.0	0.0	0.0	0	neutral	0.0	0.5	0.0	0.49916434540000004	0.0	0.48979591840000003	0.4126984127			RT @user Fox News Edits Out Trump Saying He Might’ve Let Russia ‘Take Over’ Parts of Ukraine http via @user	-0.0996679962	neutral	russia	0.42927013680000004	neutral	neutral	neutral	neutral	neutral
3706	1633078142993670144	en	everyone	2023-03-07 12:12:25	rt  phonchrist chris rock jokes about michael jackson wasnt funny at all  its just funny how yall scared to talk about elvis dating an	RT @Phonchrist: Chris Rock jokes about MIchael jackson wasn’t funny at all . It’s just funny how y’all scared to talk about Elvis dating an…	1290109744829681664	[{'type': 'retweeted', 'id': '1632688531943354374'}]	1633078142993670144	['1633078142993670146']	144	0	0	0							0.25	1.0	0.6249	0.548	8	positive	0.75	0.625	1.0	0.8156495315000001	0.6116071429000001	0.6530612245	0.5079365079			RT @user Chris Rock jokes about MIchael jackson wasn’t funny at all . It’s just funny how y’all scared to talk about Elvis dating an…	-0.6804760098	negative	#chrisrocklive	0.0424874826	positive	positive	positive	neutral	negative
