	Unnamed: 0	Unnamed: 0.1	conversation_id	lang	reply_settings	created_at	clean_text	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	our_label
0	13581	17871	1.63367e+18	en	everyone	2023-03-09 03:04:49+00:00	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	3024401194.0	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1.63367e+18	['1633665111406542848']	3316	0	0	0							neutral
1	13249	17539	1.63367e+18	en	everyone	2023-03-09 03:10:24+00:00	cant even threaten friend game without watchlist thanks obama http co x qvzgad	cant even threaten my friends during a game without being on some watchlist thanks obama https://t.co/28x4QVzgaD	1.57922e+18	[{'type': 'quoted', 'id': '1633098341578940417'}]	1.63367e+18	['1633666519245750272']	0	0	0	2							negative
2	28682	32972	1.63388e+18	en	everyone	2023-03-09 17:03:56+00:00	trump impeached call gop house brought article impeachment president biden joe biden killed poor soldier botched afghanistan pull alone warrant man impeached ukraine afganistan	"Trump was impeached over a ☎️ call! Why has the GOP House not brought Articles of Impeachment against President Biden? 

Joe Biden KILLED those poor soldiers in the botched Afghanistan pull out. That alone should warrant the man being impeached! #Ukraine #Afganistan"	200698213.0		1.63388e+18	['1633876284940877837']	0	0	0	15							negative
3	1203	1203	1.63328e+18	en	everyone	2023-03-08 01:26:22+00:00	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1.09369e+18	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1.63328e+18	['1633277949234364416']	9130	0	0	0							neutral
4	22163	26453	1.63367e+18	en	everyone	2023-03-09 03:18:26+00:00	rt visegrad time west send patriot missile defense system moldova russia keep using moldovan air space av	"RT @visegrad24: It’s time for the West to send Patriot Missile Defense Systems to Moldova too.

Russia keeps using Moldovan air space to av…"	4060962981.0	[{'type': 'retweeted', 'id': '1633639497408696326'}]	1.63367e+18	['1633668541122592768']	155	0	0	0							neutral
5	4246	4246	1.63303e+18	en	everyone	2023-03-07 08:56:35+00:00	rt tasterreblanche sagesurge also said chrisrockselectiveoutrage chrisrocklive http co mm n yv	RT @Tasterreblanche: @sagesurge He also said🤷🏻‍♂️ #ChrisRockSelectiveOutrage  #ChrisRockLive https://t.co/26Mm0n2yv5	1.21436e+18	[{'type': 'retweeted', 'id': '1632830373305409538'}]	1.63303e+18	['1633028860735369216']	237	0	0	0							neutral
6	7711	12001	1.63397e+18	en	everyone	2023-03-09 22:57:38+00:00	rt probit exchange asked chatgpt make five bold prediction future crypto next ten year	"RT @ProBit_Exchange: 💡 We asked ChatGPT to make five bold predictions about the future of crypto over the next ten years.

🔮 Here's what it…"	1.41899e+18	[{'type': 'retweeted', 'id': '1631538158713311232'}]	1.63397e+18	['1633965293700624387']	11	0	0	0							neutral
7	7083	11373	1.63318e+18	en	everyone	2023-03-09 23:21:59+00:00	chicksonright xaviaerd chatgpt proud race ethnicity proud something outside control rather proud cultural historical contribution made group resilience strength demonstrated group	@chicksonright @XAVIAERD ChatGPT: Being proud of any race or ethnicity, is not about being proud of something that is outside of your control. Rather, it is about being proud of the cultural and historical contributions made by that group, and of the resilience and strength demonstrated by that group.	363778558.0	[{'type': 'replied_to', 'id': '1633185835154546688'}]	1.63397e+18	['1633971424506392579']	0	0	0	5	69666298.0						neutral
8	13971	18261	1.63366e+18	en	everyone	2023-03-09 02:57:23+00:00	rt subrata melania trump far better first lady jill biden amp michelle obama drop agree http co p	RT @SUBRATA30016572: Melania Trump is a far better First Lady than Jill Biden &amp; Michelle Obama was. Drop a ❤ if you Agree!! https://t.co/p4…	1.5197e+18	[{'type': 'retweeted', 'id': '1633650499647057920'}]	1.63366e+18	['1633663243796226050']	138	0	0	0							neutral
9	29475	33765	1.63388e+18	en	everyone	2023-03-09 17:01:26+00:00	rt sonjaende ursula von der leyen said trudeau canada training ukrainian soldier since show	RT @SonjaEnde: What?! 😳 Ursula von der Leyen just said to Trudeau that Canada has been training Ukrainian soldiers since 2015?! 😱 This show…	1364654154.0	[{'type': 'retweeted', 'id': '1633765565666828290'}]	1.63388e+18	['1633875652284940288']	499	0	0	0							neutral
