	conversation_id	lang	reply_settings	created_at	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes
0	1633954063934009354	en	everyone	2023-03-09T22:13:00.000Z	RT @Infantry_bucky: He’s lucky a #ChrisRockLive was the worse thing that happened to him .. and he’s still crying !! What a strange charact…	1519164980582653953	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633954063934009354	['1633954063934009354']	8	0	0	0	0				
1	1633954058212876289	en	everyone	2023-03-09T22:12:59.000Z	RT @1_ofakindnocap: Chris Rock: “we all been cheated on.. but we never had the person who cheated on us interview us on tv… I sucked his -…	21575184	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633954058212876289	['1633954058212876289']	616	0	0	0	0				
2	1633951267423768578	en	everyone	2023-03-09T22:01:54.000Z	RT @1_ofakindnocap: Chris Rock: “we all been cheated on.. but we never had the person who cheated on us interview us on tv… I sucked his -…	360633018	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633951267423768578	['1633951267423768578']	616	0	0	0	0				
3	1633950853626318850	en	everyone	2023-03-09T22:00:15.000Z	RT @rolandsmartin: Working out and watching the @chrisrock @netflix live special. #fitlivewin #ChrisRockLive  #ChrisRock https://t.co/aUkc1…	1547101103803830272	[{'type': 'retweeted', 'id': '1632825595473149952'}]	1633950853626318850	['1633950853626318850']	14	0	0	0	0				
4	1633950824664645634	en	everyone	2023-03-09T22:00:08.000Z	RT @rolandsmartin: Workout done. I’ll have a few comments about the @chrisrock @netflix live special tonight on #rolandmartinunfiltered. Wa…	1547101103803830272	[{'type': 'retweeted', 'id': '1632833853021728768'}]	1633950824664645634	['1633950824664645634']	8	0	0	0	0				
5	1633949134787936257	en	everyone	2023-03-09T21:53:25.000Z	"ENTERTAINMENT NEWS UPDATE: August Alsina Refutes Laughing At Chris Rock’s Jokes About Entanglement With Jada Pinkett Smith

#trending #viral #Jimin_FACE #ChrisRockLive #tu86 #Augustalsina #bachelor #ChrisRock #19years #2023GeneralElections 

https://t.co/hoipsXyTbW"	781602084277751808		1633949134787936257	['1633949134787936257']	0	0	0	0	103				
6	1633948350910443520	en	everyone	2023-03-09T21:50:18.000Z	RT @Infantry_bucky: He’s lucky a #ChrisRockLive was the worse thing that happened to him .. and he’s still crying !! What a strange charact…	1519414733849260032	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633948350910443520	['1633948350910443520']	8	0	0	0	0				
7	1633938373529292802	en	everyone	2023-03-09T21:49:17.000Z	"@Infantry_bucky Maybe Will Smith should put a dress on and start playing the heroine instead of the hero in his movies. 

Girrrrl..., that biatch can act though. Word...
#ChrisRockLive"	965497854	[{'type': 'replied_to', 'id': '1633938373529292802'}]	1633948093342154754	['1633948093342154754']	0	0	1	0	12	1502668599881785353			
8	1633945901118132224	en	everyone	2023-03-09T21:40:34.000Z	RT @Infantry_bucky: He’s lucky a #ChrisRockLive was the worse thing that happened to him .. and he’s still crying !! What a strange charact…	758123256821915648	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633945901118132224	['1633945901118132224']	8	0	0	0	0				
9	1633945874308165632	en	everyone	2023-03-09T21:40:28.000Z	RT @1_ofakindnocap: Chris Rock: “we all been cheated on.. but we never had the person who cheated on us interview us on tv… I sucked his -…	1092950526868615168	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633945874308165632	['1633945874308165632']	616	0	0	0	0				
10	1633944472466735105	en	everyone	2023-03-09T21:34:54.000Z	RT @Infantry_bucky: He’s lucky a #ChrisRockLive was the worse thing that happened to him .. and he’s still crying !! What a strange charact…	1225577939628105728	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633944472466735105	['1633944472466735105']	8	0	0	0	0				
11	1633944147114487820	en	everyone	2023-03-09T21:33:36.000Z	RT @Infantry_bucky: He’s lucky a #ChrisRockLive was the worse thing that happened to him .. and he’s still crying !! What a strange charact…	1587121422132039685	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633944147114487820	['1633944147114487820']	8	0	0	0	0				
12	1633942392339398658	en	everyone	2023-03-09T21:26:38.000Z	RT @Infantry_bucky: He’s lucky a #ChrisRockLive was the worse thing that happened to him .. and he’s still crying !! What a strange charact…	437915633	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633942392339398658	['1633942392339398658']	8	0	0	0	0				
13	1633941881313980416	en	everyone	2023-03-09T21:24:36.000Z	RT @chrisrock: Get ready. My next stand-up special Selective Outrage will be streaming LIVE on Netflix. March 4 at 10pm ET/7pm PT #chrisroc…	1432136455485149186	[{'type': 'retweeted', 'id': '1607051315276021760'}]	1633941881313980416	['1633941881313980416']	695	0	0	0	0				
14	1633941867904790528	en	everyone	2023-03-09T21:24:33.000Z	"RT @NetflixIsAJoke: Less than 24 hours: @ChrisRock: Selective Outrage
Netflix’s First Live Global Event #ChrisRockLive https://t.co/fpfeqTj…"	1594421944283037696	[{'type': 'retweeted', 'id': '1631851960268734466'}]	1633941867904790528	['1633941867904790528']	203	0	0	0	0				
