	conversation_id	id	lang	reply_settings	edit_history_tweet_ids	text	author_id	created_at	referenced_tweets	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes
0	1633980007641931777	1633980007641931777	en	everyone	['1633980007641931777']	RT @campaigntoendqi: The DOJ announced on Wed. that it’s launching an investigation into the Memphis Police Dept.’s use-of-force and de-esc…	19374709	2023-03-09T23:56:06.000Z	[{'type': 'retweeted', 'id': '1633874033694617600'}]	9	0	0	0	0				
1	1633970333748195328	1633970333748195328	en	everyone	['1633970333748195328']	"RT @WillieJthePhilo: THOU SHALL NOT KILL by Willie J The Philosopher #TyreNichols #killings #Justice #shootings
https://t.co/RFj7oKo5jg"	51957668	2023-03-09T23:17:39.000Z	[{'type': 'retweeted', 'id': '1626559025155391489'}]	2	0	0	0	0				
2	1633968826802118658	1633968826802118658	en	everyone	['1633968826802118658']	RT @AttorneyGriggs: Black lawmakers pressure DOJ on police reform: ‘#TyreNichols and other lives depend on it’ https://t.co/ATtcIEaVYS via…	992399150833483779	2023-03-09T23:11:40.000Z	[{'type': 'retweeted', 'id': '1633921428373270529'}]	5	0	0	0	0				
3	1633959995346944001	1633959995346944001	en	everyone	['1633959995346944001']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/e07ro88NZQ"	912551791056662529	2023-03-09T22:36:35.000Z		0	1	3	0	85				
4	1633959712818610176	1633959712818610176	en	everyone	['1633959712818610176']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/bwTP460WA3"	912551791056662529	2023-03-09T22:35:27.000Z		0	0	1	0	70				
5	1633959358336999428	1633959358336999428	en	everyone	['1633959358336999428']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/9l51oBS0cX"	912551791056662529	2023-03-09T22:34:03.000Z		0	0	0	0	57				
6	1633958697167904770	1633958697167904770	en	everyone	['1633958697167904770']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/eEQmjafOMa"	912551791056662529	2023-03-09T22:31:25.000Z		0	0	0	0	53				
7	1633958282779037698	1633958282779037698	en	everyone	['1633958282779037698']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/Ezxwk2uZrK"	912551791056662529	2023-03-09T22:29:46.000Z		0	0	0	0	52				
8	1633958022224674817	1633958022224674817	en	everyone	['1633958022224674817']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/u7JP4Gp3pw"	912551791056662529	2023-03-09T22:28:44.000Z		0	0	0	0	50				
9	1633957684067328000	1633957684067328000	en	everyone	['1633957684067328000']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/Vg3rRnAXrN"	912551791056662529	2023-03-09T22:27:24.000Z		0	0	0	0	45				
10	1633957363790286848	1633957363790286848	en	everyone	['1633957363790286848']	"[NOW: NYC #StopCopCity Protest against Governor Brian Kemp's Decatur Police Dept's plans for ""Cop City"".
@GovKemp  's @cityofdecaturpd killed protester #TyreNichols at a recent protest.
Stop the militarization of US police. Stop targeting People of Color.]
https://t.co/a3CcSYQsAa https://t.co/CnCDMsZPyM"	912551791056662529	2023-03-09T22:26:07.000Z		0	0	0	0	48				
11	1633953392606232577	1633953392606232577	en	everyone	['1633953392606232577']	RT @AttorneyGriggs: Black lawmakers pressure DOJ on police reform: ‘#TyreNichols and other lives depend on it’ https://t.co/ATtcIEaVYS via…	821939292532604928	2023-03-09T22:10:20.000Z	[{'type': 'retweeted', 'id': '1633921428373270529'}]	5	0	0	0	0				
12	1633952908369620992	1633952908369620992	en	everyone	['1633952908369620992']	RT @AttorneyGriggs: Black lawmakers pressure DOJ on police reform: ‘#TyreNichols and other lives depend on it’ https://t.co/ATtcIEaVYS via…	145344704	2023-03-09T22:08:25.000Z	[{'type': 'retweeted', 'id': '1633921428373270529'}]	5	0	0	0	0				
13	1633949911795245058	1633949911795245058	en	everyone	['1633949911795245058']	RT @bmf_fofty: @CapitolPolice every charge should have been treason, felony murder, and mob action I too stand with the blue #BackThePurple…	1607872642765176832	2023-03-09T21:56:30.000Z	[{'type': 'retweeted', 'id': '1633903881154379792'}]	1	0	0	0	0				
14	1633939847730561026	1633939847730561026	en	everyone	['1633939847730561026']	"RT @Ikoofiro: Tyre Nichols was murdered by five #Memphis cops who beat him to death. No explanations for his death.

He fully cooperated wi…"	4709739743	2023-03-09T21:16:31.000Z	[{'type': 'retweeted', 'id': '1619488108768280576'}]	104	0	0	0	0				
