,Unnamed: 0,conversation_id,lang,reply_settings,created_at,clean_text,text,author_id,referenced_tweets,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.impression_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,geo.coordinates.type,geo.coordinates.coordinates,our_label
26657,30947,1633209504631513088,en,everyone,2023-03-07 20:54:24+00:00,rt hegelwcrmcheese fuss senate unequal representation dc statehood etc could avoided merely granted,"RT @HegelwCrmCheese: All the fuss about the Senate, unequal representation, DC statehood, etc. could be avoided if we merely granted our ma…",14794913,"[{'type': 'retweeted', 'id': '1633174877141184514'}]",1633209504631513088,['1633209504631513088'],12,0,0,0,,,,,,,
12749,17039,1633668866172649472,en,everyone,2023-03-09 03:19:44+00:00,people know schumer admitted communist earlier year people know obama filled bureaucracy communist http co gwsuoio yx,"Most people don't know that Schumer was an admitted communist in his earlier years!
Most people don't know that Obama filled the bureaucracy with communists! https://t.co/GwSuOiO0Yx",1494696078553325568,"[{'type': 'quoted', 'id': '1633598307179335680'}]",1633668866172649472,['1633668866172649475'],0,0,0,5,,,,,,,
14003,18293,1633661305801326592,en,everyone,2023-03-09 02:56:49+00:00,msavaarmstrong coarse another extension obama leading country basement another extension jade helm cover something tell joan river killed keep big mike quiet obamas crime,"@MsAvaArmstrong Of coarse... another extension of Obama leading the country from his basement and another extension of the jade helm cover up...

Something tells me Joan rivers was killed to keep big Mike quiet on obamas crimes..",1413055458290683904,"[{'type': 'replied_to', 'id': '1633661305801326593'}]",1633663098975395840,['1633663098975395842'],1,0,0,33,2449913803.0,,,,,,
26189,30479,1633345860300947456,en,everyone,2023-03-08 05:56:13+00:00,rt letifayimamu majority gurage zone voter passed bill favor gurage regional statehood amp self administration ethiop,RT @LetifaYimamu: The majority of Gurage Zone voters have passed a bill in favor of Gurage regional statehood &amp; self-administration. Ethiop…,1627483662726864896,"[{'type': 'retweeted', 'id': '1633341568261169153'}]",1633345860300947456,['1633345860300947458'],6,0,0,0,,,,,,,
22298,26588,1633933766338179072,en,everyone,2023-03-09 20:52:21+00:00,rt democracydocket c statehood way ensure american citizen living washington c full representation con,"RT @DemocracyDocket: “D.C. statehood is the only way to ensure American citizens living in Washington, D.C. have full representation in Con…",180237277,"[{'type': 'retweeted', 'id': '1633625994052399106'}]",1633933766338179072,['1633933766338179072'],95,0,0,0,,,,,,,
6152,10442,1633980487071854592,en,everyone,2023-03-09 23:58:00+00:00,rt ranimolla time cover letter die fine use ai like chatgpt http co pkpdk jdbs,"RT @ranimolla: It's time for cover letters to die. Until then, it's fine to use AI like ChatGPT https://t.co/PKpdk8jDbs",80800571,"[{'type': 'retweeted', 'id': '1633464696660688897'}]",1633980487071854592,['1633980487071854593'],16,0,0,0,,,,,,,
5385,5385,1633256344395587584,en,everyone,2023-03-08 00:00:31+00:00,demand justice tyrenichols amp tortugita memphis nationaldayofaction stopcopcity policebrutality blm justice http co ktv oos,"DEMAND Justice for #TyreNichols &amp; #Tortugita.
#memphis #nationaldayofaction #stopcopcity #policebrutality #blm #justice https://t.co/0ktv159oOs",1386712342545772544,,1633256344395587584,['1633256344395587586'],1,0,1,63,,,,,,,
29983,34273,1633875275262853120,en,everyone,2023-03-09 16:59:56+00:00,rt geopoliticorp counter balance russia pretext e ukraine justify genocide amp war v wider ukraine biden muddied water w,RT @GeoPolitiCorp: Counter-balance: Russia Pretexts in E Ukraine to justify genocide &amp; war vs wider Ukraine. Biden has muddied the waters w…,2932090929,"[{'type': 'retweeted', 'id': '1633869033081823233'}]",1633875275262853120,['1633875275262853136'],1,0,0,0,,,,,,,
29898,34188,1633237398112055296,en,everyone,2023-03-09 17:00:05+00:00,bosicle briangitt much decline matter germany dead dodo belgium real appetite huge spend new nuclear much yesterday technology power plant ukraine get damaged leak pretty much finished,"@bosicle17 @BrianGitt Very much on the decline no matter what. Same in Germany, and dead as a dodo in Belgium. There is no real appetite for a huge spend on new nuclear. It's very much a yesterday's technology. And if the power plant in Ukraine gets damaged and leaks, it's pretty much finished.",488627824,"[{'type': 'replied_to', 'id': '1633874770449297408'}]",1633875315499094016,['1633875315499094017'],0,0,0,5,488627824.0,,,,,,
29839,34129,1633875359866454016,en,everyone,2023-03-09 17:00:16+00:00,rt gregrubini boom ukraine corruption john kerry u trying get rid prosecutor joe biden obama,"RT @GregRubini: BOOM !!   -   Ukraine corruption
John Kerry: ""All of us were trying to get rid of that Prosecutor: me, Joe Biden and Obama""…",1560235734946066432,"[{'type': 'retweeted', 'id': '1320412175421394947'}]",1633875359866454016,['1633875359866454016'],6867,0,0,0,,,,,,,
