	Unnamed: 0.1.1	conversation_id	lang	reply_settings	created_at	clean_text	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	geo.coordinates.type	geo.coordinates.coordinates	our_label	annotator
0	17871	1633665111406542848	en	everyone	2023-03-09 03:04:49+00:00	rt tomfitton obama knew clinton knew biden knew comey knew brennan knew mccabe knew strzok knew clapper knew schiff knew fbi knew	RT @TomFitton: Obama knew. Clinton knew. Biden knew. Comey knew. Brennan knew. McCabe knew. Strzok knew.Clapper knew.Schiff knew.FBI knew.D…	3024401194	[{'type': 'retweeted', 'id': '1633625411845345280'}]	1633665111406542848	['1633665111406542848']	3316	0	0	0							neutral	melissa
1	17539	1633666519245750272	en	everyone	2023-03-09 03:10:24+00:00	cant even threaten friend game without watchlist thanks obama http co x qvzgad	cant even threaten my friends during a game without being on some watchlist thanks obama https://t.co/28x4QVzgaD	1579224008033275904	[{'type': 'quoted', 'id': '1633098341578940417'}]	1633666519245750272	['1633666519245750272']	0	0	0	2							negative	melissa
2	32972	1633876284940877824	en	everyone	2023-03-09 17:03:56+00:00	trump impeached call gop house brought article impeachment president biden joe biden killed poor soldier botched afghanistan pull alone warrant man impeached ukraine afganistan	"Trump was impeached over a ☎️ call! Why has the GOP House not brought Articles of Impeachment against President Biden? 

Joe Biden KILLED those poor soldiers in the botched Afghanistan pull out. That alone should warrant the man being impeached! #Ukraine #Afganistan"	200698213		1633876284940877824	['1633876284940877837']	0	0	0	15							negative	melissa
3	1203	1633277949234364416	en	everyone	2023-03-08 01:26:22+00:00	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1093689222823849984	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633277949234364416	['1633277949234364416']	9130	0	0	0							neutral	melissa
4	26453	1633668541122592768	en	everyone	2023-03-09 03:18:26+00:00	rt visegrad time west send patriot missile defense system moldova russia keep using moldovan air space av	"RT @visegrad24: It’s time for the West to send Patriot Missile Defense Systems to Moldova too.

Russia keeps using Moldovan air space to av…"	4060962981	[{'type': 'retweeted', 'id': '1633639497408696326'}]	1633668541122592768	['1633668541122592768']	155	0	0	0							neutral	melissa
5	4246	1633028860735369216	en	everyone	2023-03-07 08:56:35+00:00	rt tasterreblanche sagesurge also said chrisrockselectiveoutrage chrisrocklive http co mm n yv	RT @Tasterreblanche: @sagesurge He also said🤷🏻‍♂️ #ChrisRockSelectiveOutrage  #ChrisRockLive https://t.co/26Mm0n2yv5	1214358709968818176	[{'type': 'retweeted', 'id': '1632830373305409538'}]	1633028860735369216	['1633028860735369216']	237	0	0	0							neutral	melissa
6	12001	1633965293700624384	en	everyone	2023-03-09 22:57:38+00:00	rt probit exchange asked chatgpt make five bold prediction future crypto next ten year	"RT @ProBit_Exchange: 💡 We asked ChatGPT to make five bold predictions about the future of crypto over the next ten years.

🔮 Here's what it…"	1418989954680635392	[{'type': 'retweeted', 'id': '1631538158713311232'}]	1633965293700624384	['1633965293700624387']	11	0	0	0							neutral	melissa
7	11373	1633178527053889536	en	everyone	2023-03-09 23:21:59+00:00	chicksonright xaviaerd chatgpt proud race ethnicity proud something outside control rather proud cultural historical contribution made group resilience strength demonstrated group	@chicksonright @XAVIAERD ChatGPT: Being proud of any race or ethnicity, is not about being proud of something that is outside of your control. Rather, it is about being proud of the cultural and historical contributions made by that group, and of the resilience and strength demonstrated by that group.	363778558	[{'type': 'replied_to', 'id': '1633185835154546688'}]	1633971424506392576	['1633971424506392579']	0	0	0	5	69666298.0						neutral	melissa
8	18261	1633663243796226048	en	everyone	2023-03-09 02:57:23+00:00	rt subrata melania trump far better first lady jill biden amp michelle obama drop agree http co p	RT @SUBRATA30016572: Melania Trump is a far better First Lady than Jill Biden &amp; Michelle Obama was. Drop a ❤ if you Agree!! https://t.co/p4…	1519703398781698048	[{'type': 'retweeted', 'id': '1633650499647057920'}]	1633663243796226048	['1633663243796226050']	138	0	0	0							neutral	melissa
9	33765	1633875652284940288	en	everyone	2023-03-09 17:01:26+00:00	rt sonjaende ursula von der leyen said trudeau canada training ukrainian soldier since show	RT @SonjaEnde: What?! 😳 Ursula von der Leyen just said to Trudeau that Canada has been training Ukrainian soldiers since 2015?! 😱 This show…	1364654154	[{'type': 'retweeted', 'id': '1633765565666828290'}]	1633875652284940288	['1633875652284940288']	499	0	0	0							neutral	melissa
10	3059	1633122105071132672	en	everyone	2023-03-07 15:07:06+00:00	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	4551240942	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633122105071132672	['1633122105071132674']	9130	0	0	0							neutral	melissa
11	3954	1633058779850760192	en	everyone	2023-03-07 10:55:28+00:00	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	875070673160372224	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633058779850760192	['1633058779850760192']	9130	0	0	0							neutral	melissa
12	12188	1633963477877358592	en	everyone	2023-03-09 22:50:25+00:00	rt rowancheung ai moving fast new product week chatgpt api release top trending tool resource	"RT @rowancheung: AI is moving fast.

Over 100+ new products this week with the ChatGPT API release.

The top 20 trending tools and resource…"	100235438	[{'type': 'retweeted', 'id': '1633197599267213313'}]	1633963477877358592	['1633963477877358592']	427	0	0	0							neutral	melissa
13	15296	1633510940963479552	en	everyone	2023-03-09 03:23:23+00:00	geraldorivera watch tv easy see fake violence people maga hat still price tag police officer standing around talking football people waiting single file line enter capitol	@GeraldoRivera I didn’t watch it on tv, I was there. It was easy to see it was fake..The violence was from people with Maga hats that still had on the price tag. Police officers were standing around talking about football while people were waiting in a single file line to enter the capitol.	1519412892956860416	[{'type': 'replied_to', 'id': '1633510940963479552'}]	1633669785060888576	['1633669785060888576']	0	0	0	2	246500501.0						neutral	melissa
14	32374	1633866982721191936	en	everyone	2023-03-09 17:05:54+00:00	senblumenthal horrific barbaric attack ukraine missile supersonic ballistic ukraine defend jet patriot imposed protective restriction weapon delivery win war r always step behind delivering weapon u win war	@SenBlumenthal HORRIFIC BARBARIC attack on Ukraine, 81 missiles 6 supersonic ballistic Ukraine can’t defend 😢where are the Jets, the Patriots? IMPOSED PROTECTIVE restrictions on weapon deliveries doesn't win a war! We r always 1 or 2 steps behind Delivering weapons .U can't win the war	32300511	[{'type': 'replied_to', 'id': '1633866982721191944'}]	1633876776635211776	['1633876776635211776']	0	0	0	12	278124059.0						negative	melissa
15	1065	1633304051420135424	en	everyone	2023-03-08 03:10:05+00:00	rt sagesurge marlon wayans roasting chris rock smith slap selectiveoutrage chrisrocklive chrisrock chrisrocknetflix	"RT @sagesurge: Marlon Wayans roasting Chris Rock about the Will Smith slap.

#selectiveoutrage #ChrisRockLive #ChrisRock #chrisrocknetflix…"	1435194327538360320	[{'type': 'retweeted', 'id': '1632525319973289985'}]	1633304051420135424	['1633304051420135426']	9130	0	0	0							neutral	melissa
16	13296	1633953860665372672	en	everyone	2023-03-09 22:12:12+00:00	incase mfers believe earlier post chatgpt confirming http co csvucevnfc	Incase mfers didn't believe the earlier post, here's chatgpt confirming https://t.co/cSvuCeVNFC	1286494615772647424		1633953860665372672	['1633953860665372674']	0	2	4	326							negative	melissa
17	286	1633637250419367936	en	everyone	2023-03-09 01:14:06+00:00	must read important notice different fixed match prediction match jisoocomingsoonposter jeffsatur yemicregx blackpink chrisrocklive http co jmpvyjr s	"YOU MUST READ  ‼️‼️‼️‼️
IMPORTANT NOTICE DIFFERENT BETWEEN FIXED MATCH AND PREDICTION MATCH ‼️‼️‼️‼️‼️‼️ +2348162198031 #JISOOComingSoonPoster #JeffSatur #YemiCregx #BLACKPINK #ChrisRockLive https://t.co/jMPVyjR1Ss"	1631666639862132736		1633637250419367936	['1633637250419367937']	3	0	5	67							neutral	melissa
