	conversation_id	lang	reply_settings	created_at	text	author_id	referenced_tweets	id	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	withheld.copyright	withheld.country_codes	polarity_score	roberta_label	roberta_score	roberta_negative	roberta_neutral	roberta_positive	roberta_argmax
0	1633954063934009344	en	everyone	2023-03-09 22:13:00+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	1519164980582653952	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633954063934009344	['1633954063934009354']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
1	1633954058212876288	en	everyone	2023-03-09 22:12:59+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	21575184	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633954058212876288	['1633954058212876289']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
2	1633951267423768576	en	everyone	2023-03-09 22:01:54+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	360633018	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633951267423768576	['1633951267423768578']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
3	1633950853626318848	en	everyone	2023-03-09 22:00:15+00:00	rt  rolandsmartin working out and watching the  chrisrock  netflix live special #fitlivewin #chrisrocklive  #chrisrock https  tco aukc1	1547101103803830272	[{'type': 'retweeted', 'id': '1632825595473149952'}]	1633950853626318848	['1633950853626318850']	14	0	0	0	0					{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}	neutral		0.007859335	0.68688065	0.30526006	0.6868806481361389
4	1633950824664645632	en	everyone	2023-03-09 22:00:08+00:00	rt  rolandsmartin workout done ill have a few comments about the  chrisrock  netflix live special tonight on #rolandmartinunfiltered wa	1547101103803830272	[{'type': 'retweeted', 'id': '1632833853021728768'}]	1633950824664645632	['1633950824664645634']	8	0	0	0	0					{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}	neutral		0.01040054	0.87272215	0.11687733	0.8727221488952637
5	1633949134787936256	en	everyone	2023-03-09 21:53:25+00:00	entertainment news update august alsina refutes laughing at chris rocks jokes about entanglement with jada pinkett smith#trending #viral #jimin_face #chrisrocklive #tu86 #augustalsina #bachelor #chrisrock #19years #2023generalelections https  tco hoipsxytbw	781602084277751808		1633949134787936256	['1633949134787936257']	0	0	0	0	103					{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.8286}	neutral		0.029900344	0.6769997	0.29310003	0.6769996881484985
6	1633948350910443520	en	everyone	2023-03-09 21:50:18+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	1519414733849260032	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633948350910443520	['1633948350910443520']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
7	1633938373529292800	en	everyone	2023-03-09 21:49:17+00:00	 infantry_bucky maybe will smith should put a dress on and start playing the heroine instead of the hero in his movies girrrrl  that biatch can act though word#chrisrocklive	965497854	[{'type': 'replied_to', 'id': '1633938373529292802'}]	1633948093342154752	['1633948093342154754']	0	0	1	0	12	1.5026685998817853e+18				{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.8442}	negative		0.6035468	0.31581384	0.080639414	0.6035467982292175
8	1633945901118132224	en	everyone	2023-03-09 21:40:34+00:00	rt  infantry_bucky hes lucky a #chrisrocklive was the worse thing that happened to him  and hes still crying  what a strange charact	758123256821915648	[{'type': 'retweeted', 'id': '1633938373529292802'}]	1633945901118132224	['1633945901118132224']	8	0	0	0	0					{'neg': 0.292, 'neu': 0.613, 'pos': 0.095, 'compound': -0.6988}	negative		0.7303268	0.22826421	0.041408956	0.730326771736145
9	1633945874308165632	en	everyone	2023-03-09 21:40:28+00:00	rt  1_ofakindnocap chris rock we all been cheated on but we never had the person who cheated on us interview us on tv i sucked his 	1092950526868615168	[{'type': 'retweeted', 'id': '1632283297588948995'}]	1633945874308165632	['1633945874308165632']	616	0	0	0	0					{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.891}	negative		0.87597626	0.11714716	0.006876567	0.8759762644767761
