	author_id	username	author_followers	author_tweets	author_description	author_location	text	created_at	retweets	replies	likes	quote_count
0	14769495	KEBrightbill	10857	337414	"Sometimes writer | Precinct Committeeperson @DemocratManatee | #GatorNation 🐊 | Pronouns: Any, just be respectful🌈 | Opinions mine |

#GoBolts #GoBucs #RaysUp"	Florida, USA	@RobtNS Meanwhile, these are 4821 and 4822, which are really obviously not written by the original Q, and nothing more than existing paranoid talking points about Ukraine and China https://t.co/uFxhBoxdyS	2021-01-20 23:59:58+00:00	0	0	0	0
1	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@repubblica Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/paENUym81e"	2021-01-20 23:59:47+00:00	0	0	0	0
2	394169156	DocKamran	4365	4973	Psychiatrist | Writer | Founder | Punster		@karenleeren True. He was impeached earlier on over Ukraine but the Republicans gave him a pass. Hope they’ve learnt their lesson, don’t sell your soul to the devil.	2021-01-20 23:59:46+00:00	0	0	2	0
3	53526882	Goldie7419	6	506			The evidence on Hunter is on tape/video when Joe tells that he wouldn't give him the $billion he brought them (Ukraine) unless he fired the prosecutor investigation him.  They fired him and he left the billion. https://t.co/9LTuGg6z08	2021-01-20 23:59:44+00:00	0	0	0	0
4	913961632832868352	Robert91834782	1769	7752	Trump is my President#45🇺🇸.No Antifa/blm domestic terrorist organization. No sharia.Constitution 2nd Amendment 🔫NRA.I won’t buy a shirt or coin from twitter.	Northern California	@kaitlancollins @KateBennett_DC After what they did to President Trump I don’t blame him. Biden is a corrupt scandalous BASEMENT DWELLER who has dementia &amp; Biden said he is an expect on voter fraud. STOLEN ELECTION. He&amp;hunter received millions from the Ukraine &amp;communist China.	2021-01-20 23:59:12+00:00	0	0	0	0
5	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@billboard Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/rSz0VdcCRG"	2021-01-20 23:59:10+00:00	0	0	0	0
6	2338463929	VT_BornandBred	6246	13837	Vaccinated Dad/Husband Married 24 yrs Daughters rule! Vermonter Sports Food Outdoors Animals Humor #VoteBlue2024 #Equity #CSC #49ers #Sixers #Orioles	Vermont, USA	@PressSec How is the Administration going to handle countries like Russia and China with their desire to take over regions close to them? (Ukraine/Crimea) and (South China Sea) The USA does realize the Chinese constructed artificial islands!!! Thank you	2021-01-20 23:58:37+00:00	0	0	0	0
7	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@xiaojun1000 Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/LsngGbVoaH"	2021-01-20 23:58:34+00:00	0	0	0	0
8	2466732403	jacoblahey78	349	6942	"lives in Texas, OU,Bengals
#boomer #OUDNA #whodey"		"@GregAbbott_TX ""Guided by God"" more like guided by China and the Ukraine"	2021-01-20 23:58:26+00:00	4	5	88	0
9	15210800	daledamos	2404	116300	Freelance Journalist for Jewish Press; Blog at Elder of Ziyon; Blog as Daled Amos; On Eretz Yisrael, Medinat Yisrael & Am Yisrael. Retweets≠Endorsements.	USA	"@NSRoundtable @matthewldiamond Which Biden does Israel ""know""?
The one who tells stories about Golda?
Or the Biden who would apply the pressure on the Ukraine to support UN Resolution 2334 against Israel? https://t.co/yg1EGeGDxN"	2021-01-20 23:58:25+00:00	0	1	0	0
10	1315028740028731394	BlackieLamorea1	2383	31099	"FOR EVER ✝️CHRISTIAN Will LEAVE THIS EARTH A CHRISTIAN 🚂💨 MAGA 🇺🇲 YEARS 1309 Evil D vs Good R All Lives Matter  Our Lord and Savior 🙏🏻
JESUS CHRIST"	TRUMP LAND 🚂💨💨KAG AND MAGA	"IS that MAN doing STAND-UP COMEDY the MOST RIDICULOUS THING I've heard ALL DAY and I HEARD a LOT🤔#BidenCrimeFamilly #BidenNotMyPresident #impeachment for LYING ABOUT THE #LaptopFromHell &amp; Ukraine! POSTING! blm ANTIFA 
TERRORIST BAIL 
For INSURRECTIONIST against 
THE WHITE HOUSE https://t.co/g3G5Hg6mE2 https://t.co/AzRKMKH2mC"	2021-01-20 23:58:23+00:00	0	0	0	0
11	1276190084098859011	subjectio_relay	21	129871	#subjectio exposes the working of propaganda and geopolitical reality in 🇺🇦 🇲🇩 🇧🇾  🇧🇦 🇲🇪 🇲🇰 🇽🇰  🇷🇸		"@hiiipow3r3 @CryptoKoba Subjectio’s video-interviews give a voice to local actors in Belarus, Ukraine, Transnistria, North-Macedonia, Kosovo, Montenegro, Bosnia and Herzegovina:

https://t.co/2iUiNIhymg

@subjectio2020 #subjectio https://t.co/PsMZ6yfLtT"	2021-01-20 23:57:57+00:00	0	0	0	0
