,Unnamed: 0,conversation_id,lang,reply_settings,created_at,clean_text,text,author_id,referenced_tweets,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.impression_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,geo.coordinates.type,geo.coordinates.coordinates,our_label
20638,24928,1633671049899540480,en,everyone,2023-03-09 03:28:25+00:00,rt kaooavopakatapa russian living georgia past month return russia,RT @KaooavopaKatapa: Russians who have been living in Georgia for the past months return to Russia,1499240229001121792,"[{'type': 'retweeted', 'id': '1633630580624576513'}]",1633671049899540480,['1633671049899540481'],8,0,0,0,,,,,,,
26139,30429,1633330144424361984,en,everyone,2023-03-08 07:59:08+00:00,raokavitha shameful tweet putting statehood scam,@RaoKavitha Such a shameful tweet putting the statehood into scams !!,128194653,"[{'type': 'replied_to', 'id': '1633330144424361989'}]",1633376790176571392,['1633376790176571394'],0,0,0,6,177673457.0,,,,,,
26833,31123,1633158790718840832,en,everyone,2023-03-07 17:32:52+00:00,rt juddlegum joebiden presidential candidate biden supported dc statehood supported making exception leg,"RT @JuddLegum: @JoeBiden 2. As a presidential candidate, Biden not only supported DC statehood but supported making an exception to the leg…",1470454729654239232,"[{'type': 'retweeted', 'id': '1633105685910093825'}]",1633158790718840832,['1633158790718840832'],26,0,0,0,,,,,,,
6828,11118,1633973784486002688,en,everyone,2023-03-09 23:31:22+00:00,rt architecture eu watermarking chatgpt http co vpsjhckuu art aiart machinelearning nft mlart deeplearning mlsogood artific,"RT @architecture_eu: Watermarking chatGPT
https://t.co/VPSjhCKUu7
#art #AIart #machinelearning #NFT #MLart #deeplearning #MLsoGood #artific…",770285228929712128,"[{'type': 'retweeted', 'id': '1633973761492877313'}]",1633973784486002688,['1633973784486002689'],1,0,0,0,,,,,,,
22175,26465,1633668527591763968,en,everyone,2023-03-09 03:18:23+00:00,rt jj talking video filmed inside arctic circle canada alaska russia border phenomenon,"RT @jj_talking: This video was filmed inside the Arctic Circle, just between the Canada-Alaska-Russia border.

This phenomenon can only be…",45601304,"[{'type': 'retweeted', 'id': '1633556309315567616'}]",1633668527591763968,['1633668527591763969'],54,0,0,0,,,,,,,
9028,13318,1633953640800038912,en,everyone,2023-03-09 22:11:20+00:00,rt mtaibbi chatgpt testified would called direct threat lol,"RT @mtaibbi: If ChatGPT testified to this it would have been called a “direct threat,” too lol.",330142548,"[{'type': 'retweeted', 'id': '1633934237815431168'}]",1633953640800038912,['1633953640800038914'],455,0,0,0,,,,,,,
23167,27457,1633645845269688320,en,everyone,2023-03-09 13:45:02+00:00,stephenm chrismurphyct leftist view another lazy way retain obtain power idea sound argument persuasive need statehood puerto rico dc myriad fake news hoax like j insurrection charlottesville fine people bleach etc,"@StephenM @ChrisMurphyCT Leftists view it as another lazy way to retain or (obtain more) power.  Their ideas are not sound and their arguments are not persuasive.  They need statehood for Puerto Rico and DC and myriad fake news hoaxes like (J6 was an insurrection, Charlottesville fine people, bleach etc.",42096791,"[{'type': 'replied_to', 'id': '1633815135914455041'}]",1633826229869584384,['1633826229869584384'],0,0,0,33,1.3298913894302433e+18,,,,,,
31855,36145,1633753421554565120,en,everyone,2023-03-09 16:54:04+00:00,glasnostgone prairieislander free world arm ukraine send everything promising promising help ukraine defend weapon,@GlasnostGone @PrairieIslander Free world arm Ukraine now!  Send everything you are promising! Promising does not help Ukraine defend itself. Weapons do!,1868853366,"[{'type': 'replied_to', 'id': '1633753421554565121'}]",1633873798637424640,['1633873798637424640'],0,0,0,9,2758100418.0,,,,,,
30099,34389,1633875182845853696,en,everyone,2023-03-09 16:59:34+00:00,rt visegrad atacms ukraine f ukraine,"RT @visegrad24: ATACMS for Ukraine, F-16s for Ukraine NOW!",981039762,"[{'type': 'retweeted', 'id': '1633637721657810946'}]",1633875182845853696,['1633875182845853697'],539,0,0,0,,,,,,,
9154,13444,1633952769769115648,en,everyone,2023-03-09 22:07:52+00:00,chatgpt rlly saved live,chatgpt rlly saved my live♥️🤝,1229591208701222912,,1633952769769115648,['1633952769769115649'],0,1,0,6,,,,,,,
