	referenced_tweets	id	conversation_id	author_id	lang	text	created_at	reply_settings	edit_history_tweet_ids	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id	geo.coordinates.type	geo.coordinates.coordinates
0	[{'type': 'retweeted', 'id': '1633939259110432769'}]	1633953434582827008	1633953434582827008	16500267	en	RT @KTravisBallie: I just wrote a @theactionnet letter, sponsored by @dc4d, @HarrietsDreams &amp; @DCVote  to tell Congress #HandsOffDC! DC Sta…	2023-03-09T22:10:30.000Z	everyone	['1633953434582827008']	2	0	0	0	0				
1	[{'type': 'retweeted', 'id': '1633939259110432769'}]	1633953379025076236	1633953379025076236	1499024315651661834	en	RT @KTravisBallie: I just wrote a @theactionnet letter, sponsored by @dc4d, @HarrietsDreams &amp; @DCVote  to tell Congress #HandsOffDC! DC Sta…	2023-03-09T22:10:17.000Z	everyone	['1633953379025076236']	2	0	0	0	0				
2	[{'type': 'retweeted', 'id': '1633680232841629696'}]	1633952969300295682	1633952969300295682	50624289	en	"RT @safi_wajahat: After repeated disasters since 2016 you now got to cleanse 🇵🇰 of this cancer. Its your responsibility @OfficialDGISPR 
En…"	2023-03-09T22:08:39.000Z	everyone	['1633952969300295682']	5	0	0	0	0				
3	[{'type': 'replied_to', 'id': '1633952875406565377'}]	1633952878485200897	1633952857056477185	195031314	en	For some radicalised youth, those groups seemed too corrupt with power, unpatriotic (questioning 🇺🇦statehood was also a red line), or clubs of papas that didn't follow Christian nationalism online and didn’t speak the modern language of the alt-right. https://t.co/6gIlsvcmwv	2023-03-09T22:08:18.000Z	everyone	['1633952878485200897']	0	1	0	0	5	195031314			
4	[{'type': 'retweeted', 'id': '1633627246412824576'}]	1633952737074323456	1633952737074323456	15221750	en	RT @LWV: We stand with the residents of Washington, DC, in their quest for statehood, as we continue to advocate for all American voters, r…	2023-03-09T22:07:44.000Z	everyone	['1633952737074323456']	20	0	0	0	0				
5	[{'type': 'replied_to', 'id': '1633528401028960257'}]	1633952577443201026	1633528401028960257	2996516074	en	"@CapitolPolice @CapitolPolice tweeting it is true to 222 year primary assignment since 1801 tyranny started over DC, here to arrest US citizens DC seeking US democracy, while letting tyranny capriciously allow Ohio Territory lie about statehood 1803-1953 &amp; vote as if a US state
#DCstatehoodNews"	2023-03-09T22:07:06.000Z	everyone	['1633952577443201026']	0	0	0	0	4	16503916			
6		1633952560855011328	1633952560855011328	1300105721921507330	en	West Virginia is the only state in the Union to have acquired its statehood by proclamation of the President of the United States. #Whatever	2023-03-09T22:07:02.000Z	everyone	['1633952560855011328']	0	0	0	0	4				
7	[{'type': 'retweeted', 'id': '1633882887073169410'}]	1633952410484760584	1633952410484760584	2290352837	en	"RT @RepRashida: For the first time in over 30 years, Congress voted to overturn local DC legislation.

If @POTUS truly supports DC statehoo…"	2023-03-09T22:06:26.000Z	everyone	['1633952410484760584']	35	0	0	0	0				
8	[{'type': 'retweeted', 'id': '1633641088253665282'}]	1633952243941507074	1633952243941507074	597006955	en	RT @TomFitton: Breaking: In a historic repudiation of leftist DC statehood agenda and soft-on-crime radicalism, US Senate votes 81-14 (incl…	2023-03-09T22:05:46.000Z	everyone	['1633952243941507074']	380	0	0	0	0				
9	[{'type': 'retweeted', 'id': '1633760837293752320'}]	1633951738662121476	1633951738662121476	1292476725977387010	en	"RT @SuzieBird4: Florida #FL09 Vote Darren Soto
Hes for: 
Social security
Gun safety reform
Renewable energy
Puerto Rico statehood
Environme…"	2023-03-09T22:03:46.000Z	everyone	['1633951738662121476']	63	0	0	0	0				
