	id	conversation_id	text	edit_history_tweet_ids	reply_settings	author_id	lang	referenced_tweets	created_at	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	withheld.copyright	withheld.country_codes	geo.place_id
0	1633877371144249347	1633877371144249347	"RT @AJEnglish: ""One day our luck will run out.""

After Russian strikes forced Ukraine’s Zaporizhzhia nuclear plant off the power grid again…"	['1633877371144249347']	everyone	1407571124150472705	en	[{'type': 'retweeted', 'id': '1633875873173762054'}]	2023-03-09T17:08:15.000Z	11	0	0	0	0				
1	1633877370565427200	1633877370565427200	A year after #Russia's #invasion of #Ukraine, the #oil_market has become more #fragmented and uncertain, a dynamic expected to boost crude prices over the long term. https://t.co/6vZ2j3soo1 https://t.co/vavLMr4doY @AFP News	['1633877370565427200']	everyone	74081926	en		2023-03-09T17:08:15.000Z	0	0	0	0	0				
2	1633877369848205313	1633877369848205313	"RT @mtaibbi: 38.  Told he was put on the Hamilton list of suspected “Russian influence” accounts, Bishop was puzzled. 

“Nonsense. I’m supp…"	['1633877369848205313']	everyone	935528035746541568	en	[{'type': 'retweeted', 'id': '1633830125660946433'}]	2023-03-09T17:08:15.000Z	319	0	0	0	0				
3	1633877369651068928	1633877369651068928	"RT @KyivIndependent: ⚡️Slovakia and Poland 'ready' to send MiG-29 fighter jets to Ukraine.

Slovakia's Defense Minister Jaroslav Nad confir…"	['1633877369651068928']	everyone	1261037737	en	[{'type': 'retweeted', 'id': '1633811130752589825'}]	2023-03-09T17:08:15.000Z	343	0	0	0	0				
4	1633877368388599808	1633877368388599808	RT @Jazi_Hana: #UAE has provide support and send  2,500 household generators to civilians affected by the ongoing crisis in #Ukraine that h…	['1633877368388599808']	everyone	1598246406946377728	en	[{'type': 'retweeted', 'id': '1611710267251134466'}]	2023-03-09T17:08:15.000Z	1	0	0	0	0				
5	1633877368384401408	1633877368384401408	"RT @visegrad24: Oleg and Nikita, father and son, both killed in Bakhmut.

The father covered his son with his body, but the artillery shell…"	['1633877368384401408']	everyone	1169233245990477824	en	[{'type': 'retweeted', 'id': '1633808439846510594'}]	2023-03-09T17:08:15.000Z	2465	0	0	0	0				
6	1633877367696560129	1633877367696560129	"RT @visegrad24: BREAKING:

Russia has fired a wave of cruise missiles from the Black Sea that are now flying over Moldova’s air space.

The…"	['1633877367696560129']	everyone	1369839011951484932	en	[{'type': 'retweeted', 'id': '1633637043258499072'}]	2023-03-09T17:08:15.000Z	1424	0	0	0	0				
7	1633877367574626321	1633877367574626321	RT @sahouraxo: Israel drops bombs on Aleppo International Airport, stopping planes carrying aid for earthquake victims from landing in the…	['1633877367574626321']	everyone	1140571420822528000	en	[{'type': 'retweeted', 'id': '1633568365967974401'}]	2023-03-09T17:08:15.000Z	3716	0	0	0	0				
8	1633877367172268034	1633877367172268034	RT @meNabster: @inabster @gbazov In Ukraine, the so-called «second Israel» Kolomoisky &amp; Kiev enlisted a number of ex-Israel Défense Force m…	['1633877367172268034']	everyone	259975018	en	[{'type': 'retweeted', 'id': '1520941905743388672'}]	2023-03-09T17:08:14.000Z	98	0	0	0	0				
9	1633877365779763200	1633877365779763200	RT @raging545: Last night two Russian Iranian made Shaheed 131/136 Kamikaze drones were launched into Northern Ukraine and both were shot d…	['1633877365779763200']	everyone	4501434974	en	[{'type': 'retweeted', 'id': '1633438206795423744'}]	2023-03-09T17:08:14.000Z	16	0	0	0	0				
10	1633877364647297027	1633445622664626176	@gen_jackkeane @ASPI_org HORRIFIC BARBARIC attack on Ukraine, 81 missiles 6 supersonic ballistic Ukraine can’t defend 😢where are the Jets, the Patriots? IMPOSED restrictions on weapon deliveries doesn't win a war! We r always 1 or 2 steps behind Delivering weapons .U can't win the war	['1633877364647297027']	everyone	32300511	en	[{'type': 'replied_to', 'id': '1633445622664626176'}]	2023-03-09T17:08:14.000Z	0	0	0	0	0	722192639152492545			
11	1633877364114325517	1633877364114325517	"RT @visegrad24: Oleg and Nikita, father and son, both killed in Bakhmut.

The father covered his son with his body, but the artillery shell…"	['1633877364114325517']	everyone	1236750934656651266	en	[{'type': 'retweeted', 'id': '1633808439846510594'}]	2023-03-09T17:08:14.000Z	2465	0	0	0	0				
12	1633877363225133077	1633877363225133077	RT @NTenzer: As usual, a fascinating long-read by @LawDavF  on the language of warfare and, in particular, on the, in fact, redundant use o…	['1633877363225133077']	everyone	859806473274232834	en	[{'type': 'retweeted', 'id': '1633872478094098447'}]	2023-03-09T17:08:14.000Z	3	0	0	0	0				
13	1633877362331746319	1633877362331746319	"RT @visegrad24: BREAKING:

3 Kalibr launchers have taken to the Black Sea.

An air raid alarm has been issued for all of Ukraine.

Strategi…"	['1633877362331746319']	everyone	2284172952	en	[{'type': 'retweeted', 'id': '1633634476109512704'}]	2023-03-09T17:08:13.000Z	625	0	0	0	0				
14	1633877360809504769	1633877360809504769	Pentagon chief, in Israel, calls on allies to step up Ukraine support https://t.co/Qk7rq8Lw2K via FXEmpire #forex #fx	['1633877360809504769']	everyone	434064748	en		2023-03-09T17:08:13.000Z	0	0	0	0	0				
15	1633877360629149697	1633877360629149697	Factbox-Russia fires hypersonic Kinzhal missiles in Ukraine https://t.co/jXIdGUXe2M via FXEmpire #forex #fx	['1633877360629149697']	everyone	434064748	en		2023-03-09T17:08:13.000Z	0	0	0	0	0				
16	1633877360285216774	1633877360285216774	"RT @BuschModelar: A Ukrainian M270B1 MLRS delivered from the British Army and BMC Kirpi delivered by Turkey.

On 7 June 2022, British defen…"	['1633877360285216774']	everyone	1496763519022292995	en	[{'type': 'retweeted', 'id': '1633865759196626945'}]	2023-03-09T17:08:13.000Z	9	0	0	0	0				
17	1633877359081160704	1633877359081160704	"RT @KyivIndependent: ⚡️Slovakia and Poland 'ready' to send MiG-29 fighter jets to Ukraine.

Slovakia's Defense Minister Jaroslav Nad confir…"	['1633877359081160704']	everyone	1585962095295750148	en	[{'type': 'retweeted', 'id': '1633811130752589825'}]	2023-03-09T17:08:13.000Z	343	0	0	0	0				
18	1633877358456471552	1633877358456471552	"Ukraine war: Russia fires hypersonic missiles in new barrage - https://t.co/XQolezi7er{ 
At least nine people die as Russia fires powerful weapons, including hypersonic missiles.

Read more BBC News"	['1633877358456471552']	everyone	228010353	en		2023-03-09T17:08:12.000Z	0	0	0	0	0				
19	1633877357449838593	1633877357449838593	Since #Ukraine is a possible culprit in the #NordstreamSabotage, which we all know is pathetic Americlown🇺🇸🤡 propaganda, it would make sense for the dictatorship that is the #EuropeanUnion to again include them in the #NordStream2 investigation like they did #MH17 https://t.co/NE0ZZAU5Vi	['1633877357449838593']	everyone	1083235982776782849	en		2023-03-09T17:08:12.000Z	0	0	0	0	0				
20	1633877355226857473	1633877355226857473	"Ukraine War - Ukraine army charge of strike on Russian troops
#canda #Germany #Ukraine #usa #Bachmut
https://t.co/RcRamIoQRW"	['1633877355226857473']	everyone	1593033986883944452	en		2023-03-09T17:08:12.000Z	0	0	0	0	0				
21	1633877355151372288	1633877355151372288	RT @kajakallas: 79 years ago Soviet planes bombed Tallinn and destroyed almost a quarter of the city. We see Russia using the same terror t…	['1633877355151372288']	everyone	832272649392787456	en	[{'type': 'retweeted', 'id': '1633741101885542400'}]	2023-03-09T17:08:12.000Z	1304	0	0	0	0				
