|reply_settings|id|lang|text|conversation_id|author_id|referenced_tweets|edit_history_tweet_ids|created_at|public_metrics.retweet_count|public_metrics.reply_count|public_metrics.like_count|public_metrics.quote_count|public_metrics.impression_count|in_reply_to_user_id|geo.place_id
0|everyone|1633648438993883136|en|RT @GabiNga1: @keith0sta @827js @1mir_r @45tf5 @Ilegvm @Tex_2A @MNS__5 @dvicers @BFes56 @45KAG1 @LEEak23 @Bree1914 @indygri @earth_fl @Iken…|1633648438993883136|1298715879673274370|[{'type': 'retweeted', 'id': '1633505762881282055'}]|['1633648438993883136']|2023-03-09T01:58:34.000Z|106|0|0|0|0||
1|everyone|1633648437798522881|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648437798522881|615777223|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648437798522881']|2023-03-09T01:58:33.000Z|2300|0|0|0|0||
2|everyone|1633648433977335808|en|RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…|1633648433977335808|1393026118303854594|[{'type': 'retweeted', 'id': '1633546143337680897'}]|['1633648433977335808']|2023-03-09T01:58:33.000Z|2300|0|0|0|0||
3|everyone|1633648433507573763|en|"@ybarrap We demand justice when cops shooting black people in the back for running away.

MAGA is outraged when cops shoot a white woman in the chest after warning her 3 times while she was lunging through a window at the Capitol to do bodily harm to members of Congress.

#MAGAExtremists"|1633564967164100615|739248656|[{'type': 'replied_to', 'id': '1633564967164100615'}]|['1633648433507573763']|2023-03-09T01:58:32.000Z|0|0|0|0|0|17180761|
4|everyone|1633648424569679872|en|"RT @TheRickWilson: They're captives of in the MAGA madhouse they created, just as the GOP is a captive to the base.

Both organizations liv…"|1633648424569679872|899686918719381506|[{'type': 'retweeted', 'id': '1633530595572842496'}]|['1633648424569679872']|2023-03-09T01:58:30.000Z|151|0|0|0|0||
5|everyone|1633648423537614851|en|@Walcandy1 @stevenvoiceover I’m a proud MAGA  REPUBLICAN.   Candy ass|1633218199981375489|1598062007395254280|[{'type': 'replied_to', 'id': '1633589295482060802'}]|['1633648423537614851']|2023-03-09T01:58:30.000Z|0|0|0|0|0|1319461064111697920|
6|everyone|1633648423038484482|en|RT @1zzyzyx1: Here is @RepRaskin letting the MAGA Republicans know they worship an apologist to China, and that trump caused many needless…|1633648423038484482|779850194917724160|[{'type': 'retweeted', 'id': '1633505120750288896'}]|['1633648423038484482']|2023-03-09T01:58:30.000Z|231|0|0|0|0||
7|everyone|1633648421327233026|en|RT @Lindsae509: J6 was an insurrection.  TFG, MAGA, the GQP, and Fox are all to blame.|1633648421327233026|838492252024549377|[{'type': 'retweeted', 'id': '1633646533970382849'}]|['1633648421327233026']|2023-03-09T01:58:30.000Z|6|0|0|0|0||
8|everyone|1633648419528142848|en|🤣🤣🤣Deadly insurrection! Scary MAGA Republicans rioting! Doesn't look that way to me... Looks kind of like um, well, uh, peaceful!!! Like these 2 are friends or something!🤣🤣🤣 https://t.co/Zz0285IIDe|1633648419528142848|1579642514641850368|[{'type': 'quoted', 'id': '1633632570293329920'}]|['1633648419528142848']|2023-03-09T01:58:29.000Z|0|0|0|0|0||
9|everyone|1633648419246841858|en|RT @OccupyDemocrats: BREAKING: Donald Trump is reportedly considering picking election-denying MAGA loser Kari Lake as his Vice Presidentia…|1633648419246841858|1497004032526733313|[{'type': 'retweeted', 'id': '1633549364802260992'}]|['1633648419246841858']|2023-03-09T01:58:29.000Z|285|0|0|0|0||
