	created_at	conversation_id	text	edit_history_tweet_ids	reply_settings	referenced_tweets	lang	id	in_reply_to_user_id	author_id	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count
0	2023-03-06T11:59:58.000Z	1632701581740187648	"@populistrevolt2 @Frankli80664545 @thehill Totally.  The fbi did it to make maga look bad after they already lost the election 🤡

Totally makes sense https://t.co/6fAupucdfZ"	['1632712622419181569']	everyone	[{'type': 'replied_to', 'id': '1632711752214347776'}]	en	1632712622419181569	1549053089159815176	1352259918397632512	0	0	0	0	37
1	2023-03-06T11:59:56.000Z	1632696547505733633	@thehill No Trump is not what he used to be.. he’s smarter, shrewder and more determined than ever to make MAGA.. Christie is just a jealous blowhard https://t.co/hGV69PItWH	['1632712614655455234']	everyone	[{'type': 'replied_to', 'id': '1632696547505733633'}]	en	1632712614655455234	1917731	1518298631522164737	0	0	0	0	2
2	2023-03-06T11:59:55.000Z	1632036929997791234	"@lizzardpt13 @Areaindividual1 @Anthony09108338 @TommyPigott @POTUS Thank God we have Trained Medical Professionals instead of MAGA in charge of healthcare.
Y'all spew far right talking points without a clue plus u want your freedom but only while telling everyone else how to care for their children."	['1632712612700880897']	everyone	[{'type': 'replied_to', 'id': '1632429138077204485'}]	en	1632712612700880897	1577418804551991300	56356600	0	1	0	0	11
3	2023-03-06T11:59:54.000Z	1632712607097401346	"Trump is back! Keep America Great! Show your love for #Trump with a #Trump2024 #TShirt #Sticker #BaseballCap and more here https://t.co/DqlZTgDlY9  #maga #republican #donaldtrump #conservative #trumptrain 
Like | Comment | Retweet 
 March 06, 2023 at 11:59AM"	['1632712607097401346']	everyone		en	1632712607097401346		1595273953408425984	0	0	0	0	9
4	2023-03-06T11:59:52.000Z	1632229066014162944	@JayeJaybird54 We love you, MTG🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸👍👍👍maga	['1632712596699709442']	everyone	[{'type': 'replied_to', 'id': '1632229066014162944'}]	en	1632712596699709442	908182447	1585940155290058752	0	0	0	0	0
5	2023-03-06T11:59:42.000Z	1632712554651713536	RT @BehizyTweets: A lot of people don't realize how Ultra-MAGA Trump would be in a 2nd term. During his 1st term, he tried to fulfill all h…	['1632712554651713536']	everyone	[{'type': 'retweeted', 'id': '1632496809372422144'}]	en	1632712554651713536		1144057146633588736	484	0	0	0	0
6	2023-03-06T11:59:41.000Z	1632526969744027649	@BillyHeathFOX5 @defendATLforest I'm going to use your schtick..FALSE FLAG. White Christian Ultra Maga terrorists posing as Antifa did this to make Marge happy and give her something new to squeal about.	['1632712551212503042']	everyone	[{'type': 'replied_to', 'id': '1632526969744027649'}]	en	1632712551212503042	4060608137	1576554982626689024	0	0	1	0	20
7	2023-03-06T11:59:41.000Z	1632712550906208262	"RT @Garcticall: 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
MAGA MONDAY!!!!!
DROP YOUR HANDLE. 
FOLLOW ALL PATRIOTS AND RETWEET. 
GAIN NEW FOLLOWERS ALL DAY!!!!
CON…"	['1632712550906208262']	everyone	[{'type': 'retweeted', 'id': '1632705986036154368'}]	en	1632712550906208262		1491187724291915777	140	0	0	0	0
8	2023-03-06T11:59:40.000Z	1632712549786431494	RT @iMarkClements: MAGA Republicans are the most idiotic bunch of people to ever call themselves Americans. The GOP has become a national s…	['1632712549786431494']	everyone	[{'type': 'retweeted', 'id': '1632669024105422850'}]	en	1632712549786431494		244204448	18	0	0	0	0
9	2023-03-06T11:59:39.000Z	1632712543767785472	RT @babawoowa: I have to laugh at all the MAGA, Q-Anon cult members who accuse Bill Gates of wanting to implant chips in us!! It is actuall…	['1632712543767785472']	everyone	[{'type': 'retweeted', 'id': '1631838671673368577'}]	en	1632712543767785472		873980421351981056	45	0	0	0	0
10	2023-03-06T11:59:39.000Z	1632712543687802881	RT @Troyel1968: All my MAGA PATRIOT Brothers and Sisters, I love you all! As long as we have Patriot's like you, we really do have a chance…	['1632712543687802881']	everyone	[{'type': 'retweeted', 'id': '1632556145650073600'}]	en	1632712543687802881		22296372	81	0	0	0	0
11	2023-03-06T11:59:39.000Z	1632712542412849154	"RT @lance_cotten: G.M. ☀️ it's Monday
#Blueparty people 💙
It’s A FB PARTY 🥳
🚫MAGA Allowed
Meet new friends 

🚨Follow @Forgetfulness19 

Par…"	['1632712542412849154']	everyone	[{'type': 'retweeted', 'id': '1632683764869480449'}]	en	1632712542412849154		2196799850	272	0	0	0	0
12	2023-03-06T11:59:33.000Z	1632712517406302208	RT @TribelSocial: Elon Musk thinks that most of our users are bots. He’s clearly upset that fed up Twitter users are flocking to @TribelSoc…	['1632712517406302208']	everyone	[{'type': 'retweeted', 'id': '1632498996810858499'}]	en	1632712517406302208		1684563241	248	0	0	0	0
13	2023-03-06T11:59:32.000Z	1632476051782914048	@JRHorsting All Fed Nat'l Security agencies eyes on Russia and DJT is probably why Trump isn't doing so well 2022-3. How come MAGA can't even pack CPAC?  All they got left is Social Media bots.  And morons like MTG who are doing it for free. Trump's sons can take $ since they're not in Gov.	['1632712516030660609']	everyone	[{'type': 'replied_to', 'id': '1632476051782914048'}]	en	1632712516030660609	540287608	1459504810294759435	0	0	1	0	9
14	2023-03-06T11:59:32.000Z	1632712515393126400	"RT @Juan45T: If you think President Trump lost, you are  born dumb sheep. So sad. 

Good Morning to All MAGA Trump patriots. 
Love you all…"	['1632712515393126400']	everyone	[{'type': 'retweeted', 'id': '1632706104793890817'}]	en	1632712515393126400		1586837833641345024	79	0	0	0	0
15	2023-03-06T11:59:31.000Z	1632712511148687362	You decide @PramilaJayapal: MAGA or Democrat? https://t.co/CWqAYS533N	['1632712511148687362']	everyone	[{'type': 'quoted', 'id': '1632709995450998784'}]	en	1632712511148687362		348241769	0	0	0	0	28
