	reply_settings	created_at	lang	conversation_id	author_id	text	edit_history_tweet_ids	id	referenced_tweets	public_metrics.retweet_count	public_metrics.reply_count	public_metrics.like_count	public_metrics.quote_count	public_metrics.impression_count	in_reply_to_user_id	geo.place_id
0	everyone	2023-03-09T03:24:52.000Z	en	1633670160212193281	18025295	"RT @MojackMarine: So...
Anyway...
Getting my H-cut today...
Listening to MAGA redneck mental diarrhea...
ALL AROUND ME!
These people are fu…"	['1633670160212193281']	1633670160212193281	[{'type': 'retweeted', 'id': '1633666498848858113'}]	6	0	0	0	0		
1	everyone	2023-03-09T03:24:52.000Z	en	1633670156550275073	1588383305140928512	RT @DavidBe52012949: I just wanted to thank every Patriot who helped me rebuild today by following me. Losing 6800+ followers for no good r…	['1633670156550275073']	1633670156550275073	[{'type': 'retweeted', 'id': '1632508640673267712'}]	23	0	0	0	0		
2	everyone	2023-03-09T03:24:51.000Z	en	1633670155103240192	3411516291	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633670155103240192']	1633670155103240192	[{'type': 'retweeted', 'id': '1633546143337680897'}]	2619	0	0	0	0		
3	everyone	2023-03-09T03:24:51.000Z	en	1633670151978483715	1416053896292839433	RT @gregkellyusa: TUCKER CARLSON just DEMOLISHED the Biggest Lies about January 6th, showed the COMPLICITY of @CapitolPolice (famous for ki…	['1633670151978483715']	1633670151978483715	[{'type': 'retweeted', 'id': '1633180031886278659'}]	2177	0	0	0	0		
4	everyone	2023-03-09T03:24:49.000Z	en	1633670147385982977	1594243359169708032	MAGA Canada hates Trudeau now for some reason. Go be the MAGA Prime Minister in Canada eh? @tedcruz we’ll never utter the phrase President Ted Cruz here. Go try and ruin a different country where you were born why dontcha	['1633670147385982977']	1633670147385982977		0	0	0	0	0		
5	everyone	2023-03-09T03:24:48.000Z	en	1633670141346197504	1280517931256778752	RT @RonFilipkowski: Part of the reason why he is failing to draw anyone for his events is right-wingers have figured out he has nothing to…	['1633670141346197504']	1633670141346197504	[{'type': 'retweeted', 'id': '1633432287059558402'}]	1894	0	0	0	0		
6	everyone	2023-03-09T03:24:47.000Z	en	1633670138095603712	2221969320	RT @SenateBudget: If MAGA Republicans leveled with the American people about what they’re really up to, they’d be sent home in a heartbeat.…	['1633670138095603712']	1633670138095603712	[{'type': 'retweeted', 'id': '1633521712431079430'}]	212	0	0	0	0		
7	everyone	2023-03-09T03:24:44.000Z	en	1633529892951461889	1252997479	@stevebenen @WagnerTonight IMO Jordan is laying a minefield for the anticipated RICO action against MAGA organized crime. He wants to accuse any coordinated DOJ/FBI effort of “weaponization”. 🤔	['1633670123247509504']	1633670123247509504	[{'type': 'replied_to', 'id': '1633529892951461889'}]	0	0	0	0	0	27511061	
8	everyone	2023-03-09T03:24:43.000Z	en	1633670122421272576	980841944	"RT @SethAbramson: WP: “Coercive Conservatism” Runs Rampant

MAGA continues to shed its snakeskin, revealing the BIG GOVERNMENT agenda it’s…"	['1633670122421272576']	1633670122421272576	[{'type': 'retweeted', 'id': '1633667862576373763'}]	43	0	0	0	0		
9	everyone	2023-03-09T03:24:43.000Z	en	1633670118940000257	823302295	"RT @SethAbramson: WP: “Coercive Conservatism” Runs Rampant

MAGA continues to shed its snakeskin, revealing the BIG GOVERNMENT agenda it’s…"	['1633670118940000257']	1633670118940000257	[{'type': 'retweeted', 'id': '1633667862576373763'}]	43	0	0	0	0		
10	everyone	2023-03-09T03:24:42.000Z	en	1633670114791784451	932315271372726272	"#LockHimUp 

""Far-right activist Jacob Wohl and his associate Jack Burkman violated the Voting Rights Act and the Ku Klux Klan Act when they fired off robocalls to Black voters trying to trick them out of voting, ruled a federal judge on Wednesday.""

https://t.co/LPlVjhY5N8"	['1633670114791784451']	1633670114791784451		0	0	0	0	0		
11	everyone	2023-03-09T03:24:41.000Z	en	1633588382097100802	281872798	@ElijahSchaffer All in all you're just another prick in the MAGA wall. https://t.co/m1Aygixgzo	['1633670113248399360']	1633670113248399360	[{'type': 'replied_to', 'id': '1633588382097100802'}]	0	0	0	0	1	350822109	
12	everyone	2023-03-09T03:24:40.000Z	en	1633486736306184196	44461243	@RepMTG Burn that house down. If this Maga troll is up there thinking she's got power to do anything	['1633670109410611201']	1633670109410611201	[{'type': 'replied_to', 'id': '1633486736306184196'}]	0	0	0	0	0	1344356576786866176	
13	everyone	2023-03-09T03:24:38.000Z	en	1633670101089021954	1535048214545670144	RT @OccupyDemocrats: BREAKING: MAGA Gov. Sarah Huckabee Sanders is set to roll back child labor protections by signing a law to remove the…	['1633670101089021954']	1633670101089021954	[{'type': 'retweeted', 'id': '1633546143337680897'}]	2619	0	0	0	0		
14	everyone	2023-03-09T03:24:38.000Z	en	1633670101084897280	1397358089758781443	RT @TheDemocrats: MAGA Republicans will not rest until abortion is banned in every state.	['1633670101084897280']	1633670101084897280	[{'type': 'retweeted', 'id': '1633658363941908481'}]	34	0	0	0	0		
15	everyone	2023-03-09T03:24:38.000Z	en	1633670099973423110	1588609928154972167	"RT @emma6USA: Wednesday Blessings🙏
@Bellamari8mazz @LindaNTx @SirFlyzalot @1mir_r @JanetTX_Blessed @JanetFr11616397 @laura_7771 @PriamtheB…"	['1633670099973423110']	1633670099973423110	[{'type': 'retweeted', 'id': '1633602769386106880'}]	132	0	0	0	0		
16	everyone	2023-03-09T03:24:36.000Z	en	1633670090230059009	898881092	RT @MichellesDude: Has Blump, CokeBoy, Kremlin Barbie, Gums or Melanoma commented yet on the devastating #DominionLawsuit evidence that eve…	['1633670090230059009']	1633670090230059009	[{'type': 'retweeted', 'id': '1633630634844340226'}]	23	0	0	0	0		
17	everyone	2023-03-09T03:24:35.000Z	en	1633670087315185664	789152619218337792	RT @JulieSpongross: @RepMTG There was only one cover up and that was your one and only TFG. He said only one case came from China and it wo…	['1633670087315185664']	1633670087315185664	[{'type': 'retweeted', 'id': '1633525849356943360'}]	2	0	0	0	0		
18	everyone	2023-03-09T03:24:35.000Z	en	1633190413438943237	1468211238131879941	@Acyn These people are definitely showing us the real truth! The plandemic has woke the people up! The lights are on now! We can see it all falling apart! Cream rises to the top! McConnell and Schumer and all the rest of them are on record now! We now know they have no cream! #maga	['1633670086065025024']	1633670086065025024	[{'type': 'replied_to', 'id': '1633190413438943237'}]	0	0	0	0	0	16635277	
19	everyone	2023-03-09T03:24:35.000Z	en	1633670086031712257	206304115	RT @ZaleskiLuke: @catturd2 Current MAGA position on this is it never happened, was incited by the FBI, Nancy did it, the insurrectionists a…	['1633670086031712257']	1633670086031712257	[{'type': 'retweeted', 'id': '1633481942208266241'}]	21	0	0	0	0		
